lon,lat,probability
0,-90,18
0,-88,26
0,-87,35
0,-86,44
0,-85,52
0,-84,61
0,-83,68
0,-82,75
0,-81,81
0,-80,86
0,-79,89
0,-78,90
0,-77,90
0,-76,89
0,-75,87
0,-74,83
0,-73,78
0,-72,72
0,-71,66
0,-70,59
0,-69,52
0,-68,46
0,-67,39
0,-66,33
0,-65,28
0,-64,23
0,-63,18
0,-62,15
0,-61,11
0,-60,9
0,-59,7
0,-58,5
0,-57,4
0,-56,3
0,-55,2
0,-54,1
0,-53,1
0,-3,1
0,-2,2
0,-1,6
0,0,11
0,54,1
0,55,2
0,56,3
0,57,6
0,58,9
0,59,15
0,60,22
0,61,32
0,62,42
0,63,53
0,64,63
0,65,71
0,66,76
0,67,77
0,68,74
0,69,69
0,70,62
0,71,54
0,72,46
0,73,37
0,74,29
0,75,22
0,76,16
0,77,12
0,78,8
0,79,5
0,80,3
0,81,2
0,82,1
0,83,1
1,-90,18
1,-88,26
1,-87,35
1,-86,43
1,-85,52
1,-84,60
1,-83,68
1,-82,74
1,-81,80
1,-80,85
1,-79,88
1,-78,90
1,-77,90
1,-76,89
1,-75,87
1,-74,84
1,-73,79
1,-72,73
1,-71,67
1,-70,61
1,-69,54
1,-68,47
1,-67,40
1,-66,34
1,-65,29
1,-64,23
1,-63,19
1,-62,15
1,-61,12
1,-60,9
1,-59,7
1,-58,5
1,-57,4
1,-56,3
1,-55,2
1,-54,1
1,-53,1
1,-3,1
1,-2,2
1,-1,6
1,0,11
1,54,1
1,55,2
1,56,3
1,57,5
1,58,9
1,59,14
1,60,22
1,61,31
1,62,41
1,63,52
1,64,63
1,65,71
1,66,75
1,67,77
1,68,74
1,69,69
1,70,62
1,71,54
1,72,46
1,73,38
1,74,30
1,75,23
1,76,17
1,77,12
1,78,8
1,79,5
1,80,4
1,81,2
1,82,1
1,83,1
2,-90,18
2,-88,26
2,-87,34
2,-86,43
2,-85,51
2,-84,59
2,-83,67
2,-82,74
2,-81,79
2,-80,84
2,-79,88
2,-78,90
2,-77,90
2,-76,90
2,-75,88
2,-74,84
2,-73,80
2,-72,75
2,-71,68
2,-70,62
2,-69,55
2,-68,48
2,-67,42
2,-66,35
2,-65,30
2,-64,24
2,-63,20
2,-62,16
2,-61,12
2,-60,10
2,-59,7
2,-58,6
2,-57,4
2,-56,3
2,-55,2
2,-54,1
2,-53,1
2,-3,1
2,-2,2
2,-1,6
2,0,11
2,54,1
2,55,2
2,56,3
2,57,5
2,58,9
2,59,14
2,60,21
2,61,30
2,62,41
2,63,52
2,64,62
2,65,70
2,66,75
2,67,76
2,68,74
2,69,69
2,70,62
2,71,54
2,72,46
2,73,38
2,74,30
2,75,23
2,76,17
2,77,12
2,78,8
2,79,6
2,80,4
2,81,2
2,82,1
2,83,1
3,-90,18
3,-88,26
3,-87,34
3,-86,42
3,-85,50
3,-84,58
3,-83,66
3,-82,73
3,-81,79
3,-80,83
3,-79,87
3,-78,89
3,-77,90
3,-76,90
3,-75,88
3,-74,85
3,-73,81
3,-72,76
3,-71,70
3,-70,63
3,-69,56
3,-68,50
3,-67,43
3,-66,37
3,-65,31
3,-64,25
3,-63,21
3,-62,16
3,-61,13
3,-60,10
3,-59,8
3,-58,6
3,-57,4
3,-56,3
3,-55,2
3,-54,2
3,-53,1
3,-52,1
3,-3,1
3,-2,2
3,-1,6
3,0,11
3,54,1
3,55,1
3,56,3
3,57,5
3,58,9
3,59,14
3,60,21
3,61,30
3,62,40
3,63,51
3,64,61
3,65,69
3,66,74
3,67,76
3,68,74
3,69,69
3,70,62
3,71,55
3,72,46
3,73,38
3,74,30
3,75,23
3,76,17
3,77,12
3,78,8
3,79,6
3,80,4
3,81,2
3,82,1
3,83,1
3,84,1
4,-90,18
4,-88,26
4,-87,34
4,-86,42
4,-85,50
4,-84,58
4,-83,65
4,-82,72
4,-81,78
4,-80,83
4,-79,86
4,-78,89
4,-77,90
4,-76,90
4,-75,88
4,-74,86
4,-73,82
4,-72,77
4,-71,71
4,-70,65
4,-69,58
4,-68,51
4,-67,44
4,-66,38
4,-65,32
4,-64,26
4,-63,21
4,-62,17
4,-61,14
4,-60,11
4,-59,8
4,-58,6
4,-57,5
4,-56,3
4,-55,2
4,-54,2
